Two reactions fluxes result

Flux1 : R_EX_glc_e
Flux2 : R_EX_o2_e
Objective : R_Biomass_Ecoli_core_w_GAM

Flux1	Flux2	Objective
-14.0	-16.5	0.900265
-14.0	-16.0	0.884017
-14.0	-15.5	0.867769
-14.0	-15.0	0.85152
-14.0	-14.5	0.835272
-14.0	-14.0	0.819024
-14.0	-13.5	0.802775
-14.0	-13.0	0.786527
-14.0	-12.5	0.770279
-14.0	-12.0	0.75403
-14.0	-11.5	0.737782
-14.0	-11.0	0.721534
-14.0	-10.5	0.705285
-14.0	-10.0	0.689037
-14.0	-9.5	0.672789
-14.0	-9.0	0.656541
-14.0	-8.5	0.639475
-14.0	-8.0	0.621476
-14.0	-7.5	0.603478
-14.0	-7.0	0.585479
-14.0	-6.5	0.56748
-14.0	-6.0	0.549482
-14.0	-5.0	0.513485
-14.0	-5.5	0.531483
-14.0	-4.5	0.495486
-14.0	-4.0	0.477488
-14.0	-3.5	0.459489
-14.0	-3.0	0.441491
-14.0	-2.5	0.423492
-14.0	-2.0	0.405493
-14.0	-1.5	0.387495
-14.0	-1.0	0.369496
-14.0	-0.5	0.351498
-14.0	0.0	0.333499
-13.5	-20.0	0.993301
-13.5	-19.5	0.981507
-13.5	-19.0	0.965259
-13.5	-18.5	0.94901
-13.5	-18.0	0.932762
-13.5	-17.5	0.916514
-13.5	-17.0	0.900265
-13.5	-16.5	0.884017
-13.5	-16.0	0.867769
-13.5	-15.5	0.85152
-13.5	-15.0	0.835272
-13.5	-14.5	0.819024
-13.5	-14.0	0.802775
-13.5	-13.5	0.786527
-13.5	-13.0	0.770279
-13.5	-12.5	0.75403
-13.5	-12.0	0.737782
-13.5	-11.5	0.721534
-13.5	-11.0	0.705285
-13.5	-10.5	0.689037
-13.5	-10.0	0.672789
-13.5	-9.5	0.656541
-13.5	-9.0	0.640292
-13.5	-8.5	0.624044
-13.5	-7.5	0.588248
-13.5	-8.0	0.606247
-13.5	-7.0	0.570249
-13.5	-6.0	0.534252
-13.5	-6.5	0.552251
-13.5	-5.5	0.516254
-13.5	-4.5	0.480257
-13.5	-5.0	0.498255
-13.5	-4.0	0.462258
-13.5	-3.5	0.44426
-13.5	-3.0	0.426261
-13.5	-2.0	0.390264
-13.5	-2.5	0.408262
-13.5	-1.5	0.372265
-13.5	-0.5	0.336268
-13.5	-1.0	0.354267
-13.5	0.0	0.31827
-13.0	-19.5	0.958868
-13.0	-19.0	0.94739
-13.0	-20.0	0.970345
-13.0	-18.5	0.932762
-13.0	-17.5	0.900265
-13.0	-18.0	0.916514
-13.0	-17.0	0.884017
-13.0	-16.5	0.867769
-13.0	-16.0	0.85152
-13.0	-15.0	0.819024
-13.0	-14.5	0.802775
-13.0	-15.5	0.835272
-13.0	-14.0	0.786527
-13.0	-13.0	0.75403
-13.0	-13.5	0.770279
-13.0	-12.5	0.737782
-13.0	-11.5	0.705285
-13.0	-12.0	0.721534
-13.0	-11.0	0.689037
-13.0	-10.0	0.656541
-13.0	-10.5	0.672789
-13.0	-9.5	0.640292
-13.0	-9.0	0.624044
-13.0	-8.5	0.607796
-13.0	-7.5	0.573018
-13.0	-8.0	0.591017
-13.0	-7.0	0.55502
-13.0	-6.5	0.537021
-13.0	-5.5	0.501024
-13.0	-6.0	0.519023
-13.0	-5.0	0.483026
-13.0	-4.5	0.465027
-13.0	-4.0	0.447029
-13.0	-3.5	0.42903
-13.0	-3.0	0.411032
-13.0	-2.5	0.393033
-13.0	-2.0	0.375034
-13.0	-1.5	0.357036
-13.0	-1.0	0.339037
-13.0	-0.5	0.321039
-13.0	0.0	0.30304
-12.5	-19.5	0.935912
-12.5	-20.0	0.94739
-12.5	-19.0	0.924435
-12.5	-18.5	0.912957
-12.5	-18.0	0.900265
-12.5	-17.5	0.884017
-12.5	-17.0	0.867769
-12.5	-16.5	0.85152
-12.5	-16.0	0.835272
-12.5	-15.5	0.819024
-12.5	-15.0	0.802775
-12.5	-14.5	0.786527
-12.5	-14.0	0.770279
-12.5	-13.5	0.75403
-12.5	-13.0	0.737782
-12.5	-12.5	0.721534
-12.5	-12.0	0.705285
-12.5	-11.0	0.672789
-12.5	-11.5	0.689037
-12.5	-10.5	0.656541
-12.5	-10.0	0.640292
-12.5	-9.5	0.624044
-12.5	-9.0	0.607796
-12.5	-8.5	0.591547
-12.5	-8.0	0.575299
-12.5	-7.5	0.557789
-12.5	-6.5	0.521792
-12.5	-7.0	0.53979
-12.5	-6.0	0.503793
-12.5	-5.5	0.485795
-12.5	-5.0	0.467796
-12.5	-4.5	0.449798
-12.5	-4.0	0.431799
-12.5	-3.5	0.413801
-12.5	-3.0	0.395802
-12.5	-2.5	0.377803
-12.5	-2.0	0.359805
-12.5	-1.0	0.323808
-12.5	-0.5	0.305809
-12.5	0.0	0.287811
-12.5	-1.5	0.341806
-12.0	-20.0	0.924435
-12.0	-19.5	0.912957
-12.0	-19.0	0.901479
-12.0	-18.0	0.878524
-12.0	-18.5	0.890002
-12.0	-17.5	0.867047
-12.0	-16.5	0.835272
-12.0	-17.0	0.85152
-12.0	-16.0	0.819024
-12.0	-15.0	0.786527
-12.0	-15.5	0.802775
-12.0	-14.5	0.770279
-12.0	-13.5	0.737782
-12.0	-14.0	0.75403
-12.0	-13.0	0.721534
-12.0	-12.0	0.689037
-12.0	-12.5	0.705285
-12.0	-11.5	0.672789
-12.0	-11.0	0.656541
-12.0	-10.5	0.640292
-12.0	-9.5	0.607796
-12.0	-9.0	0.591547
-12.0	-10.0	0.624044
-12.0	-8.5	0.575299
-12.0	-7.5	0.542559
-12.0	-7.0	0.524561
-12.0	-8.0	0.559051
-12.0	-6.0	0.488564
-12.0	-6.5	0.506562
-12.0	-5.5	0.470565
-12.0	-5.0	0.452567
-12.0	-4.5	0.434568
-12.0	-4.0	0.41657
-12.0	-3.5	0.398571
-12.0	-3.0	0.380572
-12.0	-2.5	0.362574
-12.0	-2.0	0.344575
-12.0	-1.5	0.326577
-12.0	-1.0	0.308578
-12.0	0.0	0.272581
-12.0	-0.5	0.29058
-11.5	-20.0	0.901479
-11.5	-19.0	0.878524
-11.5	-19.5	0.890002
-11.5	-18.5	0.867047
-11.5	-18.0	0.855569
-11.5	-17.5	0.844091
-11.5	-17.0	0.832614
-11.5	-16.5	0.819024
-11.5	-15.5	0.786527
-11.5	-16.0	0.802775
-11.5	-15.0	0.770279
-11.5	-14.5	0.75403
-11.5	-14.0	0.737782
-11.5	-13.5	0.721534
-11.5	-13.0	0.705285
-11.5	-12.5	0.689037
-11.5	-12.0	0.672789
-11.5	-11.0	0.640292
-11.5	-11.5	0.656541
-11.5	-10.5	0.624044
-11.5	-9.5	0.591547
-11.5	-10.0	0.607796
-11.5	-9.0	0.575299
-11.5	-8.5	0.559051
-11.5	-8.0	0.542802
-11.5	-7.5	0.526554
-11.5	-7.0	0.509331
-11.5	-6.5	0.491333
-11.5	-6.0	0.473334
-11.5	-5.5	0.455336
-11.5	-5.0	0.437337
-11.5	-4.5	0.419339
-11.5	-4.0	0.40134
-11.5	-3.5	0.383341
-11.5	-3.0	0.365343
-11.5	-2.5	0.347344
-11.5	-2.0	0.329346
-11.5	-1.5	0.311347
-11.5	-1.0	0.293349
-11.5	-0.5	0.27535
-11.5	0.0	0.257352
-11.0	-20.0	0.878524
-11.0	-19.0	0.855569
-11.0	-19.5	0.867047
-11.0	-18.5	0.844091
-11.0	-18.0	0.832614
-11.0	-17.5	0.821136
-11.0	-17.0	0.809658
-11.0	-16.5	0.798181
-11.0	-16.0	0.786527
-11.0	-15.5	0.770279
-11.0	-14.5	0.737782
-11.0	-15.0	0.75403
-11.0	-13.5	0.705285
-11.0	-14.0	0.721534
-11.0	-13.0	0.689037
-11.0	-12.5	0.672789
-11.0	-12.0	0.656541
-11.0	-11.5	0.640292
-11.0	-10.5	0.607796
-11.0	-11.0	0.624044
-11.0	-10.0	0.591547
-11.0	-9.5	0.575299
-11.0	-9.0	0.559051
-11.0	-8.5	0.542802
-11.0	-8.0	0.526554
-11.0	-7.5	0.510306
-11.0	-6.5	0.476103
-11.0	-7.0	0.494057
-11.0	-5.5	0.440106
-11.0	-6.0	0.458105
-11.0	-5.0	0.422108
-11.0	-4.5	0.404109
-11.0	-4.0	0.38611
-11.0	-3.5	0.368112
-11.0	-3.0	0.350113
-11.0	-2.5	0.332115
-11.0	-2.0	0.314116
-11.0	-1.5	0.296118
-11.0	-1.0	0.278119
-11.0	-0.5	0.260121
-11.0	0.0	0.242122
-10.5	-20.0	0.855569
-10.5	-19.5	0.844091
-10.5	-19.0	0.832614
-10.5	-18.5	0.821136
-10.5	-18.0	0.809658
-10.5	-17.0	0.786703
