R_PGPP140	1.000000 M_pgp140_c + 1.000000 M_h2o_c = 1.000000 M_pi_c + 1.000000 M_pg140_c	0.000000	999999.000000	#1.000000 M_Phosphatidylglycerophosphate__ditetradecanoyl__n_C140__C34H65O13P2 + 1.000000 M_H2O_H2O = 1.000000 M_Phosphate_HO4P + 1.000000 M_Phosphatidylglycerol__ditetradecanoyl__n_C140__C34H66O10P1
R_DSBAO2	1.000000 M_dsbard_p + 1.000000 M_mqn8_c = 1.000000 M_mql8_c + 1.000000 M_dsbaox_p	0.000000	999999.000000	#1.000000 M_periplasmic_protein_disulfide_isomerase_I__reduced__XH2 + 1.000000 M_Menaquinone_8_C51H72O2 = 1.000000 M_Menaquinol_8_C51H74O2 + 1.000000 M_periplasmic_protein_disulfide_isomerase_I__oxidized__X
R_INOSTt4pp	1.000000 M_na1_p + 1.000000 M_inost_p = 1.000000 M_inost_c + 1.000000 M_na1_c	0.000000	999999.000000	#1.000000 M_Sodium_Na + 1.000000 M_myo_Inositol_C6H12O6 = 1.000000 M_myo_Inositol_C6H12O6 + 1.000000 M_Sodium_Na
R_PLIPA1E141pp	1.000000 M_h2o_p + 1.000000 M_pe141_p = 1.000000 M_2agpe141_p + 1.000000 M_ttdcea_p + 1.000000 M_h_p	0.000000	999999.000000	#1.000000 M_H2O_H2O + 1.000000 M_phosphatidylethanolamine__ditetradec_7_enoyl__n_C141__C33H62N1O8P1 = 1.000000 M_2_Acyl_sn_glycero_3_phosphoethanolamine__n_C141__C19H38NO7P1 + 1.000000 M_tetradecenoate__n_C141__C14H25O2 + 1.000000 M_H_H
R_PEAMNOpp	1.000000 M_peamn_p + 1.000000 M_h2o_p + 1.000000 M_o2_p = 1.000000 M_nh4_p + 1.000000 M_pacald_p + 1.000000 M_h2o2_p	0.000000	999999.000000	#1.000000 M_Phenethylamine_C8H12N + 1.000000 M_H2O_H2O + 1.000000 M_O2_O2 = 1.000000 M_Ammonium_H4N + 1.000000 M_Phenylacetaldehyde_C8H8O + 1.000000 M_Hydrogen_peroxide_H2O2
R_CLPNH160pp	1.000000 M_clpn160_p + 1.000000 M_h2o_p = 1.000000 M_pa160_p + 1.000000 M_h_p + 1.000000 M_pg160_p	0.000000	999999.000000	#1.000000 M_cardiolipin__tetrahexadecanoyl__n_C160__C73H140O17P2 + 1.000000 M_H2O_H2O = 1.000000 M_1_2_dihexadecanoyl_sn_glycerol_3_phosphate_C35H67O8P1 + 1.000000 M_H_H + 1.000000 M_Phosphatidylglycerol__dihexadecanoyl__n_C160__C38H74O10P1
R_ARGTRS	1.000000 M_atp_c + 1.000000 M_arg_L_c + 1.000000 M_trnaarg_c = 1.000000 M_argtrna_c + 1.000000 M_amp_c + 1.000000 M_ppi_c	0.000000	999999.000000	#1.000000 M_ATP_C10H12N5O13P3 + 1.000000 M_L_Arginine_C6H15N4O2 + 1.000000 M_tRNA_Arg__R = 1.000000 M_L_Arginyl_tRNA_Arg__C6H14N4OR + 1.000000 M_AMP_C10H12N5O7P + 1.000000 M_Diphosphate_HO7P2
R_EX_galt_e_	1.000000 M_galt_e = 1.000000 M_galt_b_externalM	0.000000	999999.000000	#1.000000 M_Galactitol_C6H14O6 = 1.000000 M_Galactitol_C6H14O6
R_METSOXR2	1.000000 M_metsox_R_L_c + 1.000000 M_trdrd_c = 1.000000 M_trdox_c + 1.000000 M_met_L_c + 1.000000 M_h2o_c	0.000000	999999.000000	#1.000000 M_L_methionine_R_sulfoxide_C5H11NO3S + 1.000000 M_Reduced_thioredoxin_XH2 = 1.000000 M_Oxidized_thioredoxin_X + 1.000000 M_L_Methionine_C5H11NO2S + 1.000000 M_H2O_H2O
R_METSOXR1	1.000000 M_trdrd_c + 1.000000 M_metsox_S_L_c = 1.000000 M_trdox_c + 1.000000 M_h2o_c + 1.000000 M_met_L_c	0.000000	999999.000000	#1.000000 M_Reduced_thioredoxin_XH2 + 1.000000 M_L_Methionine_Sulfoxide_C5H11NO3S = 1.000000 M_Oxidized_thioredoxin_X + 1.000000 M_H2O_H2O + 1.000000 M_L_Methionine_C5H11NO2S
